web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,09/09/2023,16/09/2023,119,119,EMPLACEMENT - Forfait 2 personnes + caravane ou tente + voiture,,Camping Mas Sud Ardèche,, 07700 SAINT JUST D'ARDECHE,,36,camping-mas-sud-ardeche-78327,
,07/08/2023,09/09/2023,16/09/2023,475,475,MOBILHOME 6 personnes - KlassiK,,Camping Mas Sud Ardèche,6 Adultes, 07700 SAINT JUST D'ARDECHE,,36,camping-mas-sud-ardeche-78327,
,07/08/2023,09/09/2023,16/09/2023,535,535,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping Mas Sud Ardèche,4 Adultes, 07700 SAINT JUST D'ARDECHE,,36,camping-mas-sud-ardeche-78327,
,07/08/2023,10/09/2023,17/09/2023,175,175,EMPLACEMENT - Emplacement,,,,"10 Pignataja, 20221 Santa",,36,camping-le-soleil-levant-79271,
,07/08/2023,10/09/2023,17/09/2023,360,360,BUNGALOW 4 personnes - Habitation Légère de Loisir,,,4 Adultes,"10 Pignataja, 20221 Santa",,36,camping-le-soleil-levant-79271,
,07/08/2023,27/08/2023,03/09/2023,390,390,MOBILHOME 4 personnes - Cottage,,Camping Bel Air,4 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
,07/08/2023,27/08/2023,03/09/2023,490,490,MOBILHOME 4 personnes - Paradise,,Camping Bel Air,4 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
,07/08/2023,27/08/2023,03/09/2023,490,490,MOBILHOME 5 personnes - DIAMOND climatisé DIMANCHE,,Camping Bel Air,5 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
,07/08/2023,27/08/2023,03/09/2023,590,590,MOBILHOME 6 personnes - Family,,Camping Bel Air,6 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
,07/08/2023,02/09/2023,09/09/2023,680,680,MOBILHOME 4 personnes - 2 chambres,,Camping Les Eaux Vives,4 Adultes, 20172 VERO,,35,camping-les-eaux-vives-78821,
,07/08/2023,02/09/2023,09/09/2023,800,800,MOBILHOME 6 personnes - 3 chambres,,Camping Les Eaux Vives,6 Adultes, 20172 VERO,,35,camping-les-eaux-vives-78821,
