web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,03/09/2023,10/09/2023,199,199,TENTE TOILE ET BOIS 4 personnes - Amazone,,Camping Le Moulin du Bel Air,4 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,03/09/2023,10/09/2023,210,210,TENTE 4 personnes - Prête à camper,,Camping Le Moulin du Bel Air,4 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,03/09/2023,10/09/2023,290,290,TENTE TOILE ET BOIS 4 personnes - Lodge Tribu (sans sanitaires),,Camping Le Moulin du Bel Air,4 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,03/09/2023,10/09/2023,299,299,CHALET 4 personnes - Chalet 4 personnes,,Camping Le Moulin du Bel Air,4 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,03/09/2023,10/09/2023,360,360,MOBILHOME 5 personnes - Louisiane,,Camping Le Moulin du Bel Air,4 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,03/09/2023,10/09/2023,380,380,CHALET 6 personnes - Chalet 6 personnes,,Camping Le Moulin du Bel Air,6 Adultes, 46310 SAINT GERMAIN DU BEL AIR,,35,camping-le-moulin-du-bel-air-79109,
,07/08/2023,20/08/2023,27/08/2023,140,140,EMPLACEMENT - avec voiture,,Camping Le Roubreau,, 07110 JOANNAS,,33,camping-le-roubreau-77369,
,07/08/2023,17/09/2023,24/09/2023,161,161,EMPLACEMENT - Forfait 1 ou 2 pers. Branchement élect. 6A inclus,,Camping Le Retourtier,, 07120 BALAZUC,,37,camping-le-retourtier-81408,
,07/08/2023,17/09/2023,24/09/2023,299,299,CHALET 5 personnes - 4 ou 5 personnes,,Camping Le Retourtier,3 Adultes, 07120 BALAZUC,,37,camping-le-retourtier-81408,
,07/08/2023,17/09/2023,24/09/2023,299,299,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping Le Retourtier,4 Adultes, 07120 BALAZUC,,37,camping-le-retourtier-81408,
,07/08/2023,17/09/2023,24/09/2023,518,518,CHALET 6 personnes -,,Camping Le Retourtier,4 Adultes, 07120 BALAZUC,,37,camping-le-retourtier-81408,
,07/08/2023,30/09/2023,07/10/2023,129,129,MOBILHOME 6 personnes - 2 Chambres,,Camping Les Terrasses du Lac,4 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,129,129,MOBILHOME 6 personnes - 2 chambres 4-6 pers. clim,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,139,139,MOBILHOME 8 personnes - 3 chambres,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,139,139,MOBILHOME 7 personnes - 3 chambres 6/7 places Clim,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,357,357,MOBILHOME 6 personnes - Cocoon 2ch 4/6p,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,364,364,MOBILHOME 6 personnes - Cottage 3ch,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,30/09/2023,07/10/2023,392,392,MOBILHOME 6 personnes - Cocoon 3ch 6p,,Camping Les Terrasses du Lac,6 Adultes, Route du Vibal ,,39,camping-les-terrasses-du-lac-78045,
,07/08/2023,26/08/2023,02/09/2023,450,450,MOBILHOME 5 personnes - Mobil-home,,Camping Les Castors,4 Adultes, 26170 PIERRELONGUE,,34,camping-les-castors-81021,
,07/08/2023,02/09/2023,09/09/2023,455,329,MOBILHOME 6 personnes - PAV6 - Pavillon | 4/6 personnes | 2 chambres | TV,,Camping Domaine de Chaussy,5 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,476,343,MOBILHOME 4 personnes - Cosy 2 chambres  (I42C),,Camping Domaine de Chaussy,4 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,483,350,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé  (I52C),,Camping Domaine de Chaussy,4 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,518,371,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),,Camping Domaine de Chaussy,5 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,546,392,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),,Camping Domaine de Chaussy,6 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,595,427,MOBILHOME 6 personnes - Moda 3 chambres Climatisé (M63C),,Camping Domaine de Chaussy,6 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,02/09/2023,09/09/2023,630,455,MOBILHOME 6 personnes - Premium 3 chambres V6P3,,Camping Domaine de Chaussy,6 Adultes, Quartier le petit Chaussy ,,35,camping-domaine-de-chaussy-77504,
,07/08/2023,24/09/2023,01/10/2023,253,253,TENTE 4 personnes - COCO SWEET (sans sanitaires),,Camping Bleu Mer,2 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,302,302,MOBILHOME 4 personnes - Standard,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,323,323,MOBILHOME 4 personnes - IBIZA DUO GRAND CONFORT,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,358,358,MOBILHOME 4 personnes - BAHIA DUO GRAND CONFORT,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,358,358,MOBILHOME 4 personnes - MH Standard Grand Confort 36m² - 2 Chambres,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,372,372,MOBILHOME 4 personnes - MALAGA DUO V.I.P,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,442,442,MOBILHOME 6 personnes - SANTA FE TRIO GRAND CONFORT,,Camping Bleu Mer,6 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,24/09/2023,01/10/2023,568,568,MOBILHOME 4 personnes - OTELLO DUO VIP,,Camping Bleu Mer,4 Adultes, 17110 SAINT GEORGES DE DIDONNE,,38,camping-bleu-mer-78252,
,07/08/2023,10/09/2023,17/09/2023,126,126,EMPLACEMENT - CONFORT - tente - caravane - camping-car,,Camping La Plaine,, 07260 ROSIERES,,36,camping-la-plaine-78157,
,07/08/2023,14/10/2023,21/10/2023,500,500,MOBILHOME 4 personnes - 2 chambres,,Camping Les Chênes Verts,4 Adultes, 17132 MESCHERS SUR GIRONDE,,41,camping-les-chenes-verts-82587,
,07/08/2023,14/10/2023,21/10/2023,575,575,MOBILHOME 6 personnes - 3 chambres,,Camping Les Chênes Verts,6 Adultes, 17132 MESCHERS SUR GIRONDE,,41,camping-les-chenes-verts-82587,
,07/08/2023,15/10/2023,22/10/2023,595,595,MOBILHOME 2 personnes - MH1 17 m²,,Camping Les Fougères,2 Adultes, 17940 RIVEDOUX PLAGE,,41,camping-les-fougeres-78128,
,07/08/2023,15/10/2023,22/10/2023,665,665,MOBILHOME 4 personnes - MH2 24 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,41,camping-les-fougeres-78128,
,07/08/2023,15/10/2023,22/10/2023,693,693,MOBILHOME 4 personnes - MH2 31 m²,,Camping Les Fougères,4 Adultes, 17940 RIVEDOUX PLAGE,,41,camping-les-fougeres-78128,
,07/08/2023,15/10/2023,22/10/2023,833,833,MOBILHOME 6 personnes - MH3 31 m²,,Camping Les Fougères,6 Adultes, 17940 RIVEDOUX PLAGE,,41,camping-les-fougeres-78128,
,07/08/2023,27/08/2023,03/09/2023,543,543,HÉBERGEMENT INSOLITE 4 personnes - Coco Sweet 2 chambres,,Camping Sea Green Les Grenettes,4 Adultes, 17740 SAINTE MARIE DE RE,,34,camping-sea-green-les-grenettes-78427,
,07/08/2023,27/08/2023,03/09/2023,644,644,TENTE TOILE ET BOIS 5 personnes - Lodge 2 chambres sans salle de bain,,Camping Sea Green Les Grenettes,5 Adultes, 17740 SAINTE MARIE DE RE,,34,camping-sea-green-les-grenettes-78427,
,07/08/2023,27/08/2023,03/09/2023,1195,1195,MOBILHOME 8 personnes - Cottage Privilège 3 chambres 2 salles de bain,,Camping Sea Green Les Grenettes,8 Adultes, 17740 SAINTE MARIE DE RE,,34,camping-sea-green-les-grenettes-78427,
,07/08/2023,07/10/2023,14/10/2023,392,392,BUNGALOW TOILÉ 2 personnes - BENGALI Toilé 2  pers équipé (sans sanitaires),,,2 Adultes, 26190 SAINT NAZAIRE EN ROYANS,,40,camping-cote-vercors-92133,
,07/08/2023,07/10/2023,14/10/2023,420,420,BUNGALOW TOILÉ 5 personnes - BENGALI Toilé 5 pers équipé (sans sanitaires),,,5 Adultes, 26190 SAINT NAZAIRE EN ROYANS,,40,camping-cote-vercors-92133,
,07/08/2023,07/10/2023,14/10/2023,552,552,MOBILHOME 4 personnes - Mobilhome 4 personnes,,,4 Adultes, 26190 SAINT NAZAIRE EN ROYANS,,40,camping-cote-vercors-92133,
,07/08/2023,07/10/2023,14/10/2023,672,672,MOBILHOME 6 personnes - 6 personnes,,,6 Adultes, 26190 SAINT NAZAIRE EN ROYANS,,40,camping-cote-vercors-92133,
,07/08/2023,27/08/2023,03/09/2023,390,390,MOBILHOME 4 personnes - Cottage,,Camping Bel Air,4 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
,07/08/2023,27/08/2023,03/09/2023,490,490,MOBILHOME 4 personnes - Paradise,,Camping Bel Air,4 Adultes, 07460 BERRIAS ET CASTELJAU,,34,camping-bel-air-81237,
