web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,10/09/2023,17/09/2023,259,259,TENTE TOILE ET BOIS 4 personnes - MAORI (sans sanitaires),,Camping La Tour de France,2 Adultes, 66720 LATOUR DE FRANCE,,36,camping-la-tour-de-france-77484,
,07/08/2023,10/09/2023,17/09/2023,385,385,MOBILHOME 7 personnes - 3 chambres / CONFORT CLIM,,Camping La Tour de France,6 Adultes, 66720 LATOUR DE FRANCE,,36,camping-la-tour-de-france-77484,
,07/08/2023,17/09/2023,24/09/2023,245,245,MOBILHOME 4 personnes - 2 chambres 24m²,,Camping Le Bois de Pins,4 Adultes, 66600 SALSES LE CHATEAU,,37,camping-le-bois-de-pins-78456,
,07/08/2023,17/09/2023,24/09/2023,287,287,MOBILHOME 4 personnes - Confort 2 chambres 28m²,,Camping Le Bois de Pins,4 Adultes, 66600 SALSES LE CHATEAU,,37,camping-le-bois-de-pins-78456,
,07/08/2023,17/09/2023,24/09/2023,371,371,MOBILHOME 6 personnes - Confort 3 chambres  32m²,,Camping Le Bois de Pins,6 Adultes, 66600 SALSES LE CHATEAU,,37,camping-le-bois-de-pins-78456,
,07/08/2023,09/09/2023,16/09/2023,481.95,481.95,MOBILHOME 4 personnes - Primevère Premium 2 chambres,,Camping Paradis - Vallespir,4 Adultes, 66150 ARLES SUR TECH,,36,camping-paradis-vallespir-79397,
,07/08/2023,26/08/2023,02/09/2023,158,158,EMPLACEMENT - Forfait Confort avec tente / caravane  + 1 voiture + électricité,,Camping La Source,, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,292,292,MOBILHOME 4 personnes - Cordulie,,Camping La Source,4 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,312,312,CHALET 5 personnes - Mimosa,,Camping La Source,4 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,342,342,MOBILHOME 6 personnes - Agaric,,Camping La Source,4 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,342,342,MOBILHOME 6 personnes - Liège,,Camping La Source,6 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,342,342,MOBILHOME 6 personnes - Apollon,,Camping La Source,4 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,26/08/2023,02/09/2023,382,382,MOBILHOME 6 personnes - Valeriane,,Camping La Source,6 Adultes, 66730 SOURNIA,,34,camping-la-source-78575,
,07/08/2023,14/10/2023,21/10/2023,112,112,EMPLACEMENT - Emplacement,,Camping du Riuferrer,, 66150 ARLES SUR TECH,,41,camping-du-riuferrer-79390,
,07/08/2023,14/10/2023,21/10/2023,314,314,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping du Riuferrer,6 Adultes, 66150 ARLES SUR TECH,,41,camping-du-riuferrer-79390,
,07/08/2023,16/09/2023,23/09/2023,364,266,MOBILHOME 4 personnes - Classic 2 chambres (H4P2),,Camping les Dunes,4 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,476,343,"MOBILHOME 4 personnes - Cosy, 2 chambres (I4P2)",,Camping les Dunes,4 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,490,350,MOBILHOME 6 personnes - Classic 3 chambres climatisé (H63C),,Camping les Dunes,6 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,546,392,MOBILHOME 4 personnes - Privilège 2 chambres (PM24),,Camping les Dunes,4 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,609,441,MOBILHOME 6 personnes - Privilège 3 chambres (PM36),,Camping les Dunes,6 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,700,504,MOBILHOME 6 personnes - BM36 - Mobil-Home Privilege Club | 6 personnes | 3 chambres | Climatisé | TV | LV,,Camping les Dunes,6 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,756,546,MOBILHOME 6 personnes - PM3S - Mobil-Home Privilege  6 personnes  3 chambres  Suite parentale | Climatisé | LV,,Camping les Dunes,6 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,16/09/2023,23/09/2023,784,560,MOBILHOME 6 personnes - BM3S - Mobil-Home Privilege Club  6 personnes  3 chambres  Suite parentale  Climatisé  TV LV,,Camping les Dunes,6 Adultes, 66440 TORREILLES,,37,camping-les-dunes-78623,
,07/08/2023,22/10/2023,29/10/2023,420,420,BUNGALOW 3 personnes - CLASSIQUE TERRASSE - 2P3QT,,Club Belambra La Presqu'Ile du Ponant,2 Adultes,Louis ,,42,club-belambra-la-presqu-ile-du-ponant-89723,
,07/08/2023,22/10/2023,29/10/2023,518,518,BUNGALOW 5 personnes - CLASSIQUE TERRASSE - 2P5QT,,Club Belambra La Presqu'Ile du Ponant,4 Adultes,Louis ,,42,club-belambra-la-presqu-ile-du-ponant-89723,
,07/08/2023,22/10/2023,29/10/2023,595,595,BUNGALOW 5 personnes - CLASSIQUE TERRASSE MER - 2P5QTM,,Club Belambra La Presqu'Ile du Ponant,4 Adultes,Louis ,,42,club-belambra-la-presqu-ile-du-ponant-89723,
,07/08/2023,10/09/2023,17/09/2023,349,349,MOBILHOME 3 personnes - 2/3 pers. Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,2 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,10/09/2023,17/09/2023,449,449,MOBILHOME 5 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,10/09/2023,17/09/2023,489,489,MOBILHOME 6 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,10/09/2023,17/09/2023,509,509,MOBILHOME 8 personnes - Terrasse couverte,,Camping Domaine Résidentiel de Plein Air Elysée,6 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,10/09/2023,17/09/2023,529,529,MOBILHOME 8 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,6 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,02/09/2023,09/09/2023,490.70,343.70,MOBILHOME 6 personnes - Marina STANDARD Climatisé,,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,35,camping-campeole-la-cote-des-roses-77876,
,07/08/2023,02/09/2023,09/09/2023,464.75,348.75,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,,Camping Campéole La Côte des Roses,4 Adultes, 11100 NARBONNE PLAGE,,35,camping-campeole-la-cote-des-roses-77876,
,07/08/2023,02/09/2023,09/09/2023,548,411,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,35,camping-campeole-la-cote-des-roses-77876,
,07/08/2023,26/08/2023,02/09/2023,945,616,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé (I42C),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,34,domaine-residentiel-de-plein-air-le-neptune-76748,
,07/08/2023,26/08/2023,02/09/2023,966,630,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé (I52C),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,34,domaine-residentiel-de-plein-air-le-neptune-76748,
,07/08/2023,26/08/2023,02/09/2023,987,644,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,34,domaine-residentiel-de-plein-air-le-neptune-76748,
,07/08/2023,26/08/2023,02/09/2023,1050,686,MOBILHOME 5 personnes - Premium 2 chambres (V5P2),,Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,34,domaine-residentiel-de-plein-air-le-neptune-76748,
,07/08/2023,10/09/2023,17/09/2023,225,225,CARAVANE 4 personnes - Sans sanitaires,,Camping La Cremade,4 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,10/09/2023,17/09/2023,315,315,CHALET 2 personnes - Lodge Bois sans sanitaires 16m2,,Camping La Cremade,2 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,10/09/2023,17/09/2023,370,370,HÉBERGEMENT INSOLITE 4 personnes - Yourte scandinave - sans sanitaires - terrasse,,Camping La Cremade,4 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,10/09/2023,17/09/2023,370,370,TENTE TOILE ET BOIS 4 personnes - Tente Maori - sans sanitaires - terrasse,,Camping La Cremade,4 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,10/09/2023,17/09/2023,385,385,CHALET 2 personnes - Lodge Bois 16m2,,Camping La Cremade,2 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,10/09/2023,17/09/2023,455,455,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping La Cremade,6 Adultes, 11140 AXAT,,36,camping-la-cremade-79572,
,07/08/2023,21/10/2023,28/10/2023,451,396,MOBILHOME 5 personnes - CONFORT PLUS D,,Camping Le Mas des Lavandes,5 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,462,396,MOBILHOME 5 personnes - CONFORT PLUS S,,Camping Le Mas des Lavandes,5 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,486,426,MOBILHOME 6 personnes - CONFORT PLUS D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,497,426,MOBILHOME 6 personnes - CONFORT PLUS S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,539,462,MOBILHOME 6 personnes - PREMIUM S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,605,528,MOBILHOME 6 personnes - PREMIUM D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,616,528,MOBILHOME 6 personnes - PREMIUM S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,651,558,MOBILHOME 4 personnes - PRESTIGE S,,Camping Le Mas des Lavandes,4 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,640,558,MOBILHOME 4 personnes - PRESTIGE D,,Camping Le Mas des Lavandes,4 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,770,660,MOBILHOME 6 personnes - PRESTIGE S,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,21/10/2023,28/10/2023,759,660,MOBILHOME 6 personnes - PRESTIGE D,,Camping Le Mas des Lavandes,6 Adultes, 34410 SERIGNAN,,42,camping-le-mas-des-lavandes-76672,
,07/08/2023,09/09/2023,16/09/2023,182,182,EMPLACEMENT - CARAVANING,,Camping la Plage Argelès,, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,398.15,339.15,BUNGALOW TOILÉ 5 personnes - ATYPIK  BALI 5 pers.,,Camping la Plage Argelès,5 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,420,357,MOBILHOME 4 personnes - BORNEO,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,475.60,404.60,MOBILHOME 4 personnes - MALDIVES,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,475.60,404.60,MOBILHOME 6 personnes - SAMOA,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,475.60,404.60,MOBILHOME 4 personnes - BALEARES,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,531.20,452.20,MOBILHOME 4 personnes - MOOREA,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,552.05,470.05,MOBILHOME 6 personnes - TONGA,,Camping la Plage Argelès,6 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,552.05,470.05,MOBILHOME 4 personnes - WALLIS,,Camping la Plage Argelès,4 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,09/09/2023,16/09/2023,629.50,535.50,MOBILHOME 6 personnes - FUTUNA,,Camping la Plage Argelès,6 Adultes, 66700 ARGELES,,36,camping-la-plage-argeles-76745,
,07/08/2023,02/09/2023,09/09/2023,549,549,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),,Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,35,le-pearl-camping-paradis-76750,
,07/08/2023,24/09/2023,01/10/2023,339,339,MOBILHOME 5 personnes - Samedi / Samedi,,Camping L'Olivier,4 Adultes, 30250 JUNAS,,38,camping-lolivier-77373,
,07/08/2023,03/09/2023,10/09/2023,91,91,EMPLACEMENT - Emplacement 1 Tente ou 1 Caravane ou 1 Camping-car + 1 voiture (électricité non incluse),,Camping Le Bois Des Ecureuils,, 30390 DOMAZAN,,35,camping-le-bois-des-ecureuils-77186,
,07/08/2023,03/09/2023,10/09/2023,119,119,EMPLACEMENT - 1 tente ou 1 Caravane ou 1 Camping-car + 1 voiture + électricité incluse,,Camping Le Bois Des Ecureuils,, 30390 DOMAZAN,,35,camping-le-bois-des-ecureuils-77186,
,07/08/2023,03/09/2023,10/09/2023,140,140,TENTE TOILE ET BOIS 4 personnes - MAORI,,Camping Le Bois Des Ecureuils,2 Adultes, 30390 DOMAZAN,,35,camping-le-bois-des-ecureuils-77186,
,07/08/2023,03/09/2023,10/09/2023,220,220,MOBILHOME 5 personnes -  5 personnes,,Camping Le Bois Des Ecureuils,5 Adultes, 30390 DOMAZAN,,35,camping-le-bois-des-ecureuils-77186,
,07/08/2023,03/09/2023,10/09/2023,285,285,MOBILHOME 6 personnes - Mobil home - 3 chambres,,Camping Le Bois Des Ecureuils,6 Adultes, 30390 DOMAZAN,,35,camping-le-bois-des-ecureuils-77186,
,07/08/2023,09/09/2023,16/09/2023,449,314.30,MOBILHOME 5 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,09/09/2023,16/09/2023,489,342.30,MOBILHOME 6 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,09/09/2023,16/09/2023,349,349,MOBILHOME 3 personnes - 2/3 pers. Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,2 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,09/09/2023,16/09/2023,529,370.30,MOBILHOME 8 personnes - Climatisé,,Camping Domaine Résidentiel de Plein Air Elysée,6 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
,07/08/2023,09/09/2023,16/09/2023,469,469,MOBILHOME 6 personnes - Terrasse couverte,,Camping Domaine Résidentiel de Plein Air Elysée,4 Adultes, 30240 LE GRAU DU ROI,,36,camping-domaine-residentiel-de-plein-air-elysee-77578,
