web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,07/08/2023,26/08/2023,01/09/2023,322,322,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,336,336,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,350,350,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,413,413,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,567,510,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,693,624,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,749,674,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,896,806,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,1036,932,4 Pièces 8 Personnes,151514,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,322,322,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,336,336,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,350,350,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,26/08/2023,01/09/2023,413,413,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,34,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,567,510,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,693,624,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,749,674,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,896,806,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,23/12/2023,29/12/2023,1036,932,4 Pièces 8 Personnes,151514,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,51,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,30/12/2023,05/01/2024,903,813,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,52,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,30/12/2023,05/01/2024,952,857,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,52,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,30/12/2023,05/01/2024,1071,964,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,52,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,30/12/2023,05/01/2024,1351,1216,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,52,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,30/12/2023,05/01/2024,1519,1367,4 Pièces 8 Personnes,151514,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,52,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,287,258,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,301,271,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,322,290,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,343,309,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,371,334,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,06/01/2024,12/01/2024,399,359,4 Pièces 8 Personnes,151514,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,1,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,308,277,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,329,296,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,350,315,3 Pièces 6 Personnes,89348,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,371,334,3 Pièces Duplex 6/7 Personnes,101918,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,406,365,3/4 Pièces 8 Personnes,72167,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,13/01/2024,19/01/2024,441,397,4 Pièces 8 Personnes,151514,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,2,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,20/01/2024,26/01/2024,385,347,2 Pièces Cabine 5 Personnes,101889,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,3,211,SAINT-COLOMBAN-DES-VILLARDS
,07/08/2023,20/01/2024,26/01/2024,406,365,2 Pièces Duplex 5/6 Personnes,101914,Résidence Goélia Les Chalets de Belledonne,Saint-Colomban-des-Villards,,3,211,SAINT-COLOMBAN-DES-VILLARDS
