web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,Nb Personnes,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,31/07/2023,05/08/2023,12/08/2023,539,539,BUNGALOW TOILÉ 4 personnes - Sans sanitaires,4 Adultes,,Camping Les Chênes Clairs,CONDAT,,31,camping-les-chenes-clairs-77127,
,31/07/2023,05/08/2023,12/08/2023,786,786,HÉBERGEMENT INSOLITE 4 personnes - Coco Sweet Quatro - Sans sanitaires,4 Adultes,,Camping Sites et Paysages - Le Ventoulou,THEGRA,,31,camping-sites-et-paysages-le-ventoulou-78606,
,31/07/2023,05/08/2023,12/08/2023,1617,1536,MOBILHOME 6 personnes - Cottage Le P'tit Quercynois (Arrivée Samedi) - 3 chambres - 2 salles de bain,6 Adultes,,Camping Sites et Paysages - Le Ventoulou,THEGRA,,31,camping-sites-et-paysages-le-ventoulou-78606,
,31/07/2023,05/08/2023,12/08/2023,745,745,MOBILHOME 4 personnes - MH2 20 m² pas de terrasse,4 Adultes,,Camping Le Plan d'eau St Charles,DAMIATTE,,31,camping-le-plan-deau-st-charles-77168,
,31/07/2023,05/08/2023,12/08/2023,520,520,MOBILHOME 4 personnes - Mobil-home STANDARD 2 chambres + terrasse,4 Adultes,,Camping Le Rural,TIBIRAN,,31,camping-le-rural-76619,
,31/07/2023,05/08/2023,12/08/2023,580,580,MOBILHOME 4 personnes - Mobil-home STANDARD + 2 chambres + terrasse couverte,4 Adultes,,Camping Le Rural,TIBIRAN,,31,camping-le-rural-76619,
,31/07/2023,05/08/2023,12/08/2023,640,640,MOBILHOME 4 personnes - Mobil-home PRESTIGE 2 chambres + 2 salles de bain,4 Adultes,,Camping Le Rural,TIBIRAN,,31,camping-le-rural-76619,
,31/07/2023,05/08/2023,12/08/2023,700,700,MOBILHOME 6 personnes - Mobil-home FAMILY CONFORT 3 chambres + 2 terrasses (1 ouverte + 1 fermée),6 Adultes,,Camping Le Rural,TIBIRAN,,31,camping-le-rural-76619,
,31/07/2023,05/08/2023,12/08/2023,950,950,MOBILHOME 8 personnes - Mezza 3 chambres + 1 mezza + 2 salles de bain,8 Adultes,,Camping Le Rural,TIBIRAN,,31,camping-le-rural-76619,
,31/07/2023,05/08/2023,12/08/2023,700,490,MOBILHOME 4 personnes - Grand confort 2 chambres,4 Adultes,,Camping Le Rupé,Chemin du Pont de Rupé,,31,camping-le-rupe-80370,
,31/07/2023,05/08/2023,12/08/2023,889,589,MOBILHOME 6 personnes - 3 CHAMBRES CONFORT,6 Adultes,,Camping Paradis La Marmotte,SAVIGNAC LES ORMEAUX,,31,camping-paradis-la-marmotte-78523,
,31/07/2023,05/08/2023,12/08/2023,1049,749,CHALET 6 personnes - 3 PREMIUM,6 Adultes,,Camping Paradis La Marmotte,SAVIGNAC LES ORMEAUX,,31,camping-paradis-la-marmotte-78523,
,31/07/2023,05/08/2023,12/08/2023,1149,849,MOBILHOME 8 personnes - 4 CHAMBRES PREMIUM 2 SALLE D EAU,8 Adultes,,Camping Paradis La Marmotte,SAVIGNAC LES ORMEAUX,,31,camping-paradis-la-marmotte-78523,
,31/07/2023,05/08/2023,12/08/2023,633,633,MOBILHOME 4 personnes - CONFORT+,4 Adultes,,Camping du Lac Marciac,MARCIAC,,31,camping-du-lac-marciac-77665,
