web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,11/09/2023,30/09/2023,07/10/2023,350,350,MOBILHOME 6 personnes - IRM Super Mercure,,Camping La Marine,5 Adultes, 30240 LE GRAU DU ROI,,39,camping-la-marine-77580,
,11/09/2023,12/11/2023,19/11/2023,219,219,BUNGALOW 2 personnes - PLUME - sans sanitaires 12 m²,,Camping de La Gare,2 Adultes, 66760 UR,,45,camping-de-la-gare-79388,
,11/09/2023,12/11/2023,19/11/2023,219,219,BUNGALOW 3 personnes - POLOCHON - sans sanitaires 20 m²,,Camping de La Gare,3 Adultes, 66760 UR,,45,camping-de-la-gare-79388,
,11/09/2023,12/11/2023,19/11/2023,445,445,MOBILHOME 2 personnes - MH1 16 m²,,Camping de La Gare,2 Adultes, 66760 UR,,45,camping-de-la-gare-79388,
,11/09/2023,07/10/2023,14/10/2023,406,406,MOBILHOME 2 personnes - Classique,,Camping Le Beaulieu,2 Adultes, 17138 PUILBOREAU,,40,camping-le-beaulieu-78124,
,11/09/2023,07/10/2023,14/10/2023,455,455,MOBILHOME 4 personnes - Confort,,Camping Le Beaulieu,4 Adultes, 17138 PUILBOREAU,,40,camping-le-beaulieu-78124,
,11/09/2023,23/09/2023,30/09/2023,130,104,BUNGALOW TOILÉ 4 personnes - MAORI,,Camping Les Châtaigniers,4 Adultes, 07260 RIBES,,38,camping-les-chataigniers-81393,
,11/09/2023,15/10/2023,22/10/2023,129.50,129.50,EMPLACEMENT,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,185.50,185.50,EMPLACEMENT - électricité/ pergola,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,206.50,206.50,EMPLACEMENT - électricité/eau/ pergola,,Camping Le Clos du Rhône,, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,413,413,"MOBILHOME 4 personnes - SUNELIA CONFORT ""GRAND LARGE""",,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,476,476,MOBILHOME 5 personnes - Cottage 33 m² Mobilté réduite 2 chambres TV/CLIM,,Camping Le Clos du Rhône,5 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,511,511,MOBILHOME 6 personnes - COTTAGE PRESTIGE EVASION,,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,532,532,MOBILHOME 6 personnes - SUNELIA CONFORT MISTRAL,,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,623,623,"MOBILHOME 4 personnes - SUNELIA PRESTIGE ""VUE INFINIE""",,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,686,686,MOBILHOME 6 personnes - SUNELIA PRESTIGE ALIZES,,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,707,707,"CHALET 6 personnes - CONFORT ""AZUR"" VUE MER",,Camping Le Clos du Rhône,6 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
,11/09/2023,15/10/2023,22/10/2023,742,742,CHALET 4 personnes - PRESTIGE HORIZON VUE MER,,Camping Le Clos du Rhône,4 Adultes, 13460 SAINTES MARIES DE LA MER (13),,41,camping-le-clos-du-rhone-78449,
