annonce,station_key,station_name
421624,19,AVORIAZ
423014,19,AVORIAZ
66369,19,AVORIAZ
423954,19,AVORIAZ
661184,19,AVORIAZ
420884,19,AVORIAZ
424014,19,AVORIAZ
66103,19,AVORIAZ
422064,19,AVORIAZ
424504,19,AVORIAZ
422234,19,AVORIAZ
425844,19,AVORIAZ
30668,19,AVORIAZ
421864,19,AVORIAZ
120582,19,AVORIAZ
422794,19,AVORIAZ
422094,19,AVORIAZ
421924,19,AVORIAZ
421974,19,AVORIAZ
422224,19,AVORIAZ
422014,19,AVORIAZ
445314,19,AVORIAZ
423214,19,AVORIAZ
423974,19,AVORIAZ
424644,19,AVORIAZ
424274,19,AVORIAZ
424674,19,AVORIAZ
422024,19,AVORIAZ
425784,19,AVORIAZ
422864,19,AVORIAZ
661154,19,AVORIAZ
422264,19,AVORIAZ
66366,19,AVORIAZ
424284,19,AVORIAZ
168011,19,AVORIAZ
424024,19,AVORIAZ
422844,19,AVORIAZ
431654,19,AVORIAZ
422124,19,AVORIAZ
102005,19,AVORIAZ
422184,19,AVORIAZ
423344,19,AVORIAZ
132208,19,AVORIAZ
421874,19,AVORIAZ
423074,19,AVORIAZ
66094,19,AVORIAZ
423494,19,AVORIAZ
424844,19,AVORIAZ
66106,19,AVORIAZ
421984,19,AVORIAZ
424954,19,AVORIAZ
424634,19,AVORIAZ
421584,19,AVORIAZ
422194,19,AVORIAZ
422214,19,AVORIAZ
30667,19,AVORIAZ
66361,19,AVORIAZ
421914,19,AVORIAZ
421934,19,AVORIAZ
102004,19,AVORIAZ
422144,19,AVORIAZ
422884,19,AVORIAZ
421844,19,AVORIAZ
423474,19,AVORIAZ
436954,19,AVORIAZ
420904,19,AVORIAZ
658434,19,AVORIAZ
604094,19,AVORIAZ
422954,19,AVORIAZ
421954,19,AVORIAZ
661174,19,AVORIAZ
422074,19,AVORIAZ
422134,19,AVORIAZ
448,%2A428,LA PLAGNE
191960,43,LA ROSIERE
192635,%2A428,LA PLAGNE
193693,%2A428,LA PLAGNE
188666,43,LA ROSIERE
57487,%2A428,LA PLAGNE
193493,%2A428,LA PLAGNE
192063,43,LA ROSIERE
35625,%2A428,LA PLAGNE
1893,%2A428,LA PLAGNE
193691,%2A428,LA PLAGNE
193638,%2A428,LA PLAGNE
1753,%2A428,LA PLAGNE
66072,%2A428,LA PLAGNE
191964,43,LA ROSIERE
303354,%2A428,LA PLAGNE
193684,%2A428,LA PLAGNE
193541,%2A428,LA PLAGNE
192080,43,LA ROSIERE
80021,%2A428,LA PLAGNE
278284,%2A428,LA PLAGNE
193485,%2A428,LA PLAGNE
193621,%2A428,LA PLAGNE
193547,%2A428,LA PLAGNE
193694,%2A428,LA PLAGNE
193586,%2A428,LA PLAGNE
193783,%2A428,LA PLAGNE
197115,72,PEISEY VALLANDRY
193785,%2A428,LA PLAGNE
193720,%2A428,LA PLAGNE
62941,%2A428,LA PLAGNE
413534,%2A428,LA PLAGNE
188669,43,LA ROSIERE
188632,43,LA ROSIERE
193717,%2A428,LA PLAGNE
414244,%2A428,LA PLAGNE
193524,%2A428,LA PLAGNE
193542,43,LA ROSIERE
506834,%2A428,LA PLAGNE
143254,%2A428,LA PLAGNE
193610,%2A428,LA PLAGNE
192084,43,LA ROSIERE
193623,%2A428,LA PLAGNE
188680,43,LA ROSIERE
193796,%2A428,LA PLAGNE
188684,43,LA ROSIERE
191816,43,LA ROSIERE
476674,%2A428,LA PLAGNE
193579,%2A428,LA PLAGNE
