web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,05/08/2023,12/08/2023,179,179,MOBILHOME 4 personnes - CONFORT avec TV,Camping Sea Green L'Occitan,2 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,357,189,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,Camping Sea Green L'Occitan,4 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,392,199,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,504,504,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,149,149,MOBILHOME 5 personnes - 2 chambres 4/5 places,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,159,159,MOBILHOME 5 personnes - 2 Chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,169,169,MOBILHOME 7 personnes - 3 chambres,Village-club Les Sables d'Or,5 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,769.40,323.40,MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,1070.82,449.82,MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,1070.82,449.82,MOBILHOME 6 personnes - Premium 2 chambres 2sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,1301.84,546.84,MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
,27/03/2023,05/08/2023,12/08/2023,1532.86,643.86,MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,,31,village-club-les-sables-dor-77569,
