url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1598,1598,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2219,2219,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,31,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/camping-maeva-club-argeles-vacances-76755#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2157,2157,MOBILHOME 10 personnes - Family 5 Pièces 8/10 Personnes Climatisé + TV,Camping maeva Club Argelès Vacances,10 Adultes, 66700 ARGELES,,,31,camping-maeva-club-argeles-vacances-76755,
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1790.88,1790.88,MOBILHOME 6 personnes - Mobil Home Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,Camping maeva Club Le Lagon d'Argelès,4 Adultes, 66700 ARGELES,,,31,camping-maeva-club-le-lagon-d-argeles-76769,
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1790.88,1790.88,MOBILHOME 4 personnes - PMR 3 Pièces 4 Personnes Climatisé + TV,Camping maeva Club Le Lagon d'Argelès,4 Adultes, 66700 ARGELES,,,31,camping-maeva-club-le-lagon-d-argeles-76769,
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2126.88,1914.19,MOBILHOME 8 personnes - Mobil Home Evolution 4 Pièces 6/8 Personnes Climatisé + TV,Camping maeva Club Le Lagon d'Argelès,6 Adultes, 66700 ARGELES,,,31,camping-maeva-club-le-lagon-d-argeles-76769,
https://www.campings.com/fr/camping/camping-maeva-club-le-lagon-d-argeles-76769#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2384.48,2146.03,MOBILHOME 10 personnes - Mobil Home Family 5 Pièces 8/10 Personnes Climatisé + TV,Camping maeva Club Le Lagon d'Argelès,8 Adultes, 66700 ARGELES,,,31,camping-maeva-club-le-lagon-d-argeles-76769,
https://www.campings.com/fr/camping/camping-au-flamenco-76756#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,790,790,MOBILHOME 4 personnes - Azur,Camping Au Flamenco,2 Adultes, 66700 ARGELES,,,31,camping-au-flamenco-76756,
https://www.campings.com/fr/camping/camping-la-pinede-enchantee-76550#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,955,955,"MOBILHOME 4 personnes - EVASION, 2 chambres",Camping La Pinède Enchantée,4 Adultes, 66700 ARGELES,,,31,camping-la-pinede-enchantee-76550,
https://www.campings.com/fr/camping/camping-la-pinede-enchantee-76550#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1025,1025,MOBILHOME 4 personnes - MEDITERRANEE,Camping La Pinède Enchantée,4 Adultes, 66700 ARGELES,,,31,camping-la-pinede-enchantee-76550,
https://www.campings.com/fr/camping/camping-le-bois-fleuri-76664#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1610,1610,MOBILHOME 4 personnes - Charme Plus 4 pers 2ch.,Camping Le Bois Fleuri,4 Adultes, 66700 ARGELES,,,31,camping-le-bois-fleuri-76664,
https://www.campings.com/fr/camping/camping-le-bois-fleuri-76664#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1785,1785,CHALET 6 personnes - Family Charme 3ch,Camping Le Bois Fleuri,4 Adultes, 66700 ARGELES,,,31,camping-le-bois-fleuri-76664,
https://www.campings.com/fr/camping/camping-le-bois-fleuri-76664#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1785,1785,CHALET 6 personnes - Family Charme Plus,Camping Le Bois Fleuri,4 Adultes, 66700 ARGELES,,,31,camping-le-bois-fleuri-76664,
https://www.campings.com/fr/camping/camping-le-bois-fleuri-76664#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1890,1890,MOBILHOME 6 personnes - Suite Charme Duo,Camping Le Bois Fleuri,4 Adultes, 66700 ARGELES,,,31,camping-le-bois-fleuri-76664,
https://www.campings.com/fr/camping/camping-le-bois-fleuri-76664#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2049,2049,CHALET 6 personnes - 3 chambres,Camping Le Bois Fleuri,4 Adultes, 66700 ARGELES,,,31,camping-le-bois-fleuri-76664,
https://www.campings.com/fr/camping/village-vacances-les-abricotiers-76747#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1075,1075,MOBILHOME 6 personnes - terrasse semi-couverte 4/6 places,,6 Adultes, 66700 ARGELES,,,31,village-vacances-les-abricotiers-76747,
https://www.campings.com/fr/camping/village-vacances-les-abricotiers-76747#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1129,1129,MOBILHOME 6 personnes - Supérieur 4/6 places,,6 Adultes, 66700 ARGELES,,,31,village-vacances-les-abricotiers-76747,
https://www.campings.com/fr/camping/camping-taxo-les-pins-76759#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2014.88,2014.88,MOBILHOME 6 personnes - Confort 4 Pièces Climatisé + TV,Camping Taxo les Pins,4 Adultes, 66700 ARGELES,,,31,camping-taxo-les-pins-76759,
https://www.campings.com/fr/camping/camping-le-roussillonnais-76761#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1386,1323,MOBILHOME 4 personnes - Cosy 2 chambres (I4P2),Camping Le Roussillonnais,4 Adultes, 66700 ARGELES,,,31,camping-le-roussillonnais-76761,
https://www.campings.com/fr/camping/camping-la-coste-rouge-76762#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1701,1617,MOBILHOME 4 personnes -  2 chambres | Climatisé,Camping La Coste Rouge,4 Adultes, 66700 ARGELES,,,31,camping-la-coste-rouge-76762,
https://www.campings.com/fr/camping/camping-la-coste-rouge-76762#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1757,1673,MOBILHOME 5 personnes - Cosy | 4/5 personnes | 2 chambres | Climatisé,Camping La Coste Rouge,5 Adultes, 66700 ARGELES,,,31,camping-la-coste-rouge-76762,
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1876,1785,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé (I42C),Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,,31,domaine-residentiel-de-plein-air-le-neptune-76748,
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1904,1813,MOBILHOME 5 personnes - Cosy 2 chambres Climatisé (I52C),Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,,31,domaine-residentiel-de-plein-air-le-neptune-76748,
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1939,1848,MOBILHOME 6 personnes - Cosy 2 chambres Climatisé (I62C),Domaine Résidentiel de Plein Air Le Neptune,4 Adultes, 66700 ARGELES,,,31,domaine-residentiel-de-plein-air-le-neptune-76748,
https://www.campings.com/fr/camping/domaine-residentiel-de-plein-air-le-neptune-76748#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2254,2142,MOBILHOME 6 personnes - Cosy 3 chambres Climatisé (I63C),Domaine Résidentiel de Plein Air Le Neptune,6 Adultes, 66700 ARGELES,,,31,domaine-residentiel-de-plein-air-le-neptune-76748,
https://www.campings.com/fr/camping/camping-flower-les-chenes-rouges-76760#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1918,1918,MOBILHOME 6 personnes - Rubis premium,Camping FLOWER Les Chênes Rouges,6 Adultes, 66700 ARGELES,,,31,camping-flower-les-chenes-rouges-76760,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1148,1148,MOBILHOME 4 personnes - Gamme Loisirs,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1248,1248,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1561.49,1342.88,MOBILHOME 6 personnes - Passion 3 Pièces 4/6 Personnes Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1368,1368,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1454.88,1454.88,MOBILHOME 4 personnes - Loisirs 3 Pièces 4 Personnes Climatisé + TV,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1743.66,1656.48,MOBILHOME 8 personnes - Féérique 4 Pièces 6/8 Personnes Climatisé + TV,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,1848,1848,MOBILHOME 6 personnes - PREMIUM JACUZZI,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2577.30,2216.48,MOBILHOME 4 personnes - Duo Premium 3 Pièces 4 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-des-alberes-77482#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,3017.17,2474.08,MOBILHOME 6 personnes - Trio Premium 4 Pièces 6 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
https://www.campings.com/fr/camping/camping-club-le-florida-79506#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2249,2249,MOBILHOME 4 personnes,Camping Club Le Florida,2 Adultes, 66200 ELNE,,,31,camping-club-le-florida-79506,
https://www.campings.com/fr/camping/camping-club-le-florida-79506#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2349,2349,MOBILHOME 6 personnes,Camping Club Le Florida,6 Adultes, 66200 ELNE,,,31,camping-club-le-florida-79506,
https://www.campings.com/fr/camping/camping-siblu-mar-estang-funpass-inclus-76997#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2163,2163,MOBILHOME 6 personnes - Bien-être 2ch 6p Signature clim,Camping Siblu Mar Estang - Funpass inclus,6 Adultes, 66140 CANET EN ROUSSILLON,,,31,camping-siblu-mar-estang-funpass-inclus-76997,
https://www.campings.com/fr/camping/camping-siblu-mar-estang-funpass-inclus-76997#?checkInDate=2023-08-05&night=7,,03/04/2023,05/08/2023,12/08/2023,2191,2191,MOBILHOME 8 personnes - Bien-être 3ch 8p Signature clim,Camping Siblu Mar Estang - Funpass inclus,8 Adultes, 66140 CANET EN ROUSSILLON,,,31,camping-siblu-mar-estang-funpass-inclus-76997,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-08-12&night=7,,03/04/2023,12/08/2023,19/08/2023,1538,1538,MOBILHOME 4 personnes - Classique (arrivée samedi),Le Pearl - Camping Paradis,4 Adultes, 66700 ARGELES,,,32,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/le-pearl-camping-paradis-76750#?checkInDate=2023-08-12&night=7,,03/04/2023,12/08/2023,19/08/2023,2259,2259,MOBILHOME 7 personnes - Premium - 2013 (arrivée samedi),Le Pearl - Camping Paradis,7 Adultes, 66700 ARGELES,,,32,le-pearl-camping-paradis-76750,
https://www.campings.com/fr/camping/camping-maeva-club-argeles-vacances-76755#?checkInDate=2023-08-12&night=7,,03/04/2023,12/08/2023,19/08/2023,1539,1385.10,MOBILHOME 5 personnes - Pyrénées 3 Pièces 4/5 Personnes Climatisé + TV,Camping maeva Club Argelès Vacances,5 Adultes, 66700 ARGELES,,,32,camping-maeva-club-argeles-vacances-76755,
https://www.campings.com/fr/camping/camping-maeva-club-argeles-vacances-76755#?checkInDate=2023-08-12&night=7,,03/04/2023,12/08/2023,19/08/2023,1539,1385.10,MOBILHOME 6 personnes - Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,Camping maeva Club Argelès Vacances,6 Adultes, 66700 ARGELES,,,32,camping-maeva-club-argeles-vacances-76755,
