web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,05/08/2023,12/08/2023,159,159,MOBILHOME 4 personnes - CONFORT avec TV,Camping Sea Green L'Occitan,2 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,357,169,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,Camping Sea Green L'Occitan,4 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,392,179,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,294,294,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,357,357,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,427,427,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,504,504,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,31,camping-sea-green-l-occitan-78738,
,27/03/2023,05/08/2023,12/08/2023,259,169,MOBILHOME 4 personnes - LOISIRS,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,27/03/2023,05/08/2023,12/08/2023,319,189,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,27/03/2023,05/08/2023,12/08/2023,199,199,CHALET 2 personnes,Camping des Albères,2 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
,27/03/2023,05/08/2023,12/08/2023,199,199,TENTE TOILE ET BOIS 5 personnes - NATURA,Camping des Albères,5 Adultes, 66740 LAROQUE DES ALBERES,,,31,camping-des-alberes-77482,
