web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,01/04/2023,08/04/2023,360,179,MOBILHOME 6 personnes - 3 chambres,Camping Les Amandiers,6 Adultes, 30660 GALLARGUES LE MONTUEUX,,,13,camping-les-amandiers-77289,
,27/03/2023,01/04/2023,08/04/2023,203,203,BUNGALOW 5 personnes - TITHOME - sans sanitaires - sans arrivée d'eau,Camping Les Amandiers,4 Adultes, 30660 GALLARGUES LE MONTUEUX,,,13,camping-les-amandiers-77289,
,27/03/2023,01/04/2023,08/04/2023,259,259,HÉBERGEMENT INSOLITE 4 personnes - Coco Sweet 4 places,Camping Les Amandiers,4 Adultes, 30660 GALLARGUES LE MONTUEUX,,,13,camping-les-amandiers-77289,
,27/03/2023,01/04/2023,08/04/2023,294,294,MOBILHOME 6 personnes - 3 Chambres,Camping Les Amandiers,6 Adultes, 30660 GALLARGUES LE MONTUEUX,,,13,camping-les-amandiers-77289,
,27/03/2023,01/04/2023,08/04/2023,149,149,MOBILHOME 6 personnes - 3 chambres,Camping Soleil d'Oc,4 Adultes, 11100 NARBONNE PLAGE,,,13,camping-soleil-d-oc-78992,
,27/03/2023,01/04/2023,08/04/2023,179,179,MOBILHOME 6 personnes - 2 chambres,Camping Soleil d'Oc,4 Adultes, 11100 NARBONNE PLAGE,,,13,camping-soleil-d-oc-78992,
,27/03/2023,01/04/2023,08/04/2023,259,259,MOBILHOME 5 personnes - ESPACE,Camping Le Bosc d'En Roug,5 Adultes, 66750 SAINT CYPRIEN,,,13,camping-le-bosc-den-roug-78217,
,27/03/2023,01/04/2023,08/04/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,13,camping-le-bosc-den-roug-78217,
,27/03/2023,01/04/2023,08/04/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,13,camping-le-bosc-den-roug-78217,
,27/03/2023,01/04/2023,08/04/2023,315,315,MOBILHOME 6 personnes - ESPACE,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,,13,camping-le-bosc-den-roug-78217,
,27/03/2023,01/04/2023,08/04/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,13,camping-le-bosc-den-roug-78217,
,27/03/2023,01/04/2023,08/04/2023,355,355,TENTE TOILE ET BOIS 5 personnes - Sunlodge  Confort (pas de douche),Camping Les Sablons,5 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,355,355,MOBILHOME 3 personnes - SUNELIA MH PRESTIGE 1 CH 1 SDB,Camping Les Sablons,2 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,390,390,MOBILHOME 2 personnes - LUXE STUDIO,Camping Les Sablons,2 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,400,400,TENTE TOILE ET BOIS 6 personnes - LODGE Prestige CAMPING,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,445,445,MOBILHOME 4 personnes - MH CONFORT 2 CH 1 SDB,Camping Les Sablons,4 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,470,470,MOBILHOME 4 personnes - MH CONFORT PLUS 2 CH 1 SDB,Camping Les Sablons,4 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,480,480,CHALET 6 personnes - Prestige camping,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,505,505,MOBILHOME 6 personnes - Confort,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,505,505,MOBILHOME 4 personnes - SUNELIA MH PRESTIGE 2 CH 1 SDB,Camping Les Sablons,4 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,525,525,MOBILHOME 6 personnes - Confort Plus 3 CH,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,560,560,MOBILHOME 6 personnes - MH PRESTIGE 2 CH 2 SDB 4/6,Camping Les Sablons,4 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,585,585,CHALET 6 personnes - SUP ETANG,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,620,620,CHALET 6 personnes - DUO 3CH,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,630,630,MOBILHOME 6 personnes - MH PRESTIGE 3 CH 2 SDB,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,685,685,MOBILHOME 4 personnes - TAOS Luxe 2CH,Camping Les Sablons,4 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,780,780,MOBILHOME 6 personnes - TAOS 3CH 6P,Camping Les Sablons,6 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,955,955,CHALET 8 personnes - CHALET LUXE,Camping Les Sablons,8 Adultes, 34420 PORTIRAGNES PLAGE,,,13,camping-les-sablons-78104,
,27/03/2023,01/04/2023,08/04/2023,441,378,MOBILHOME 4 personnes - LOGGIA PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,13,camping-beau-rivage-77811,
,27/03/2023,01/04/2023,08/04/2023,455,390,MOBILHOME 6 personnes - ESPACE CLASSIC,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,13,camping-beau-rivage-77811,
,27/03/2023,01/04/2023,08/04/2023,469,402,MOBILHOME 6 personnes - ESPACE PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,13,camping-beau-rivage-77811,
