web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,01/07/2023,08/07/2023,589,589,MOBILHOME 4 personnes - CONFORT avec TV,Camping Sea Green L'Occitan,2 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,788,599,MOBILHOME 6 personnes - CONFORT 2 chambres avec TV,Camping Sea Green L'Occitan,4 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,822,619,MOBILHOME 6 personnes - CONFORT 3 chambres avec TV,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,833,833,GÎTE 6 personnes - 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,987,987,MOBILHOME 6 personnes - Confort 3 Chambres 6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,1064,1064,MOBILHOME 6 personnes - Privilège 2 Chambres 4/6 pers,Camping Sea Green L'Occitan,6 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,1148,1148,MOBILHOME 8 personnes - Privilège 3 Chambres 6/8 pers,Camping Sea Green L'Occitan,8 Adultes, 34450 VIAS,,,26,camping-sea-green-l-occitan-78738,
,27/03/2023,01/07/2023,08/07/2023,839,839,MOBILHOME 6 personnes - Climatisation + TV,Camping Les Salisses,4 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,899,899,MOBILHOME 8 personnes - Climatisation + TV,Camping Les Salisses,6 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,649,649,MOBILHOME 6 personnes,Camping Les Salisses,4 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,735,735,MOBILHOME 6 personnes - IRM 2 chambres,Camping Les Salisses,4 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,865,865,MOBILHOME 8 personnes,Camping Les Salisses,8 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,872.48,872.48,MOBILHOME 6 personnes - 3 Pièces 4/6 Personnes Climatisé + TV,Camping Les Salisses,4 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,890,890,MOBILHOME 8 personnes - 3 Chambres,Camping Les Salisses,6 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,890,890,MOBILHOME 8 personnes - Confort 8 Personnes (TV-Climatisation),Camping Les Salisses,8 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,894.88,894.88,MOBILHOME 8 personnes - 4 Pièces 6/8 Personnes Climatisé + TV,Camping Les Salisses,6 Adultes, 34450 VIAS,,,26,camping-les-salisses-76793,
,27/03/2023,01/07/2023,08/07/2023,529,529,MOBILHOME 4 personnes - COCOON,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,,26,camping-la-maire-78521,
,27/03/2023,01/07/2023,08/07/2023,539,539,CHALET 5 personnes - EVASION,Camping La Maïre,4 Adultes, 34410 SERIGNAN,,,26,camping-la-maire-78521,
,27/03/2023,01/07/2023,08/07/2023,569,569,MOBILHOME 6 personnes - LOISIR,Camping La Maïre,6 Adultes, 34410 SERIGNAN,,,26,camping-la-maire-78521,
