web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,04/11/2023,11/11/2023,250,250,MOBILHOME 4 personnes - 3M,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,,44,camping-domino-77940,
,27/03/2023,04/11/2023,11/11/2023,310,310,MOBILHOME 4 personnes - 4M,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,,44,camping-domino-77940,
,27/03/2023,04/11/2023,11/11/2023,282,282,MOBILHOME 4 personnes - GENTIANE - 1 chambre sans jacuzzi -,Camping La Source,4 Adultes, 66730 SOURNIA,,,44,camping-la-source-78575,
,27/03/2023,04/11/2023,11/11/2023,322,322,MOBILHOME 6 personnes - Valeriane,Camping La Source,6 Adultes, 66730 SOURNIA,,,44,camping-la-source-78575,
,27/03/2023,04/11/2023,11/11/2023,189,189,CHALET 4 personnes - NATURE (Sans sanitaires),Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
,27/03/2023,04/11/2023,11/11/2023,300,300,MOBILHOME 4 personnes - TRIGANO 26m2,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
,27/03/2023,04/11/2023,11/11/2023,320,320,MOBILHOME 4 personnes - TRIGANO EVO 29 TI,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
,27/03/2023,04/11/2023,11/11/2023,350,350,MOBILHOME 4 personnes - TRIGANO 33m2,Camping Mas Llinas,4 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
,27/03/2023,04/11/2023,11/11/2023,430,430,MOBILHOME 6 personnes - O HARA 40 m² 3 chambres 2 wc / 2 salle de bains,Camping Mas Llinas,6 Adultes, 66160 LE BOULOU,,,44,camping-mas-llinas-77558,
,27/03/2023,04/11/2023,11/11/2023,469,469,MOBILHOME 4 personnes - climatisé,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,497,497,MOBILHOME 4 personnes - COSY HOUSE,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,525,525,MOBILHOME 4 personnes - SWEET HOME,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,560,560,MOBILHOME 6 personnes - BUNGALOW,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,560,560,MOBILHOME 6 personnes - GRAND LARGE,Camping le Pré Saint André,6 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,595,595,MOBILHOME 8 personnes - FAMILLE,Camping le Pré Saint André,4 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,630,630,MOBILHOME 6 personnes - Nest - 3ch 6 pers. climatisé,Camping le Pré Saint André,6 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,700,700,HÉBERGEMENT INSOLITE 8 personnes - 2 chambres,Camping le Pré Saint André,5 Adultes, 30250 SOUVIGNARGUES,,,44,camping-le-pre-saint-andre-78583,
,27/03/2023,04/11/2023,11/11/2023,315,315,CHALET 5 personnes - Chalet 30 m2,Domaine De Montrose,5 Adultes, 34120 PEZENAS,,,44,domaine-de-montrose-80142,
,27/03/2023,04/11/2023,11/11/2023,315,315,CHALET 8 personnes - Chalet 30 m2 + mezzanine,Domaine De Montrose,8 Adultes, 34120 PEZENAS,,,44,domaine-de-montrose-80142,
,27/03/2023,04/11/2023,11/11/2023,315,315,CHALET 6 personnes - Chalet 25 m2,Domaine De Montrose,6 Adultes, 34120 PEZENAS,,,44,domaine-de-montrose-80142,
