web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
,27/03/2023,07/10/2023,14/10/2023,210,199,MOBILHOME 6 personnes - 2 chambres - TV,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,266,199,MOBILHOME 8 personnes - 3 chambres - TV,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,229,229,MOBILHOME 6 personnes - 2 Chambres,Camping Maïana Resort,4 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,249,249,MOBILHOME 8 personnes - 3 chambres,Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,360,360,MOBILHOME 6 personnes - Cottage 4/6 Places (Clim TV),Camping Maïana Resort,3 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,385,385,MOBILHOME 8 personnes - Cottage 6/8 Places 3 Chambres (Clim TV),Camping Maïana Resort,6 Adultes, 34280 LA GRANDE MOTTE,,,40,camping-maiana-resort-77457,
,27/03/2023,07/10/2023,14/10/2023,259,259,MOBILHOME 5 personnes - ESPACE,Camping Le Bosc d'En Roug,5 Adultes, 66750 SAINT CYPRIEN,,,40,camping-le-bosc-den-roug-78217,
,27/03/2023,07/10/2023,14/10/2023,273,273,MOBILHOME 4 personnes - CONFORT PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,40,camping-le-bosc-den-roug-78217,
,27/03/2023,07/10/2023,14/10/2023,308,308,MOBILHOME 5 personnes - ESPACE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,40,camping-le-bosc-den-roug-78217,
,27/03/2023,07/10/2023,14/10/2023,315,315,MOBILHOME 6 personnes - ESPACE,Camping Le Bosc d'En Roug,6 Adultes, 66750 SAINT CYPRIEN,,,40,camping-le-bosc-den-roug-78217,
,27/03/2023,07/10/2023,14/10/2023,364,364,MOBILHOME 4 personnes - COTTAGE PREMIUM,Camping Le Bosc d'En Roug,4 Adultes, 66750 SAINT CYPRIEN,,,40,camping-le-bosc-den-roug-78217,
,27/03/2023,07/10/2023,14/10/2023,250,250,MOBILHOME 4 personnes - 3M,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,,40,camping-domino-77940,
,27/03/2023,07/10/2023,14/10/2023,310,310,MOBILHOME 4 personnes - 4M,Camping Domino,4 Adultes, 34440 NISSAN LEZ ENSERUNE,,,40,camping-domino-77940,
,27/03/2023,07/10/2023,14/10/2023,308,308,MOBILHOME 8 personnes - Bien-être 3ch 8p Signature clim,Camping Siblu Mar Estang - Funpass inclus,8 Adultes, 66140 CANET EN ROUSSILLON,,,40,camping-siblu-mar-estang-funpass-inclus-76997,
,27/03/2023,07/10/2023,14/10/2023,308,308,MOBILHOME 6 personnes - Bien-être 2ch 6p Signature clim,Camping Siblu Mar Estang - Funpass inclus,6 Adultes, 66140 CANET EN ROUSSILLON,,,40,camping-siblu-mar-estang-funpass-inclus-76997,
,27/03/2023,07/10/2023,14/10/2023,214,214,"MOBILHOME 5 personnes - TITHOME sans sanitaires, en arrivée le samedi",La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,270,270,MOBILHOME 4 personnes - Basik,La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,384.51,273,MOBILHOME 4 personnes - Mobil Home 3 Pièces Classik 4 personnes Climatisé + TV,La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,274,274,CHALET 5 personnes - Classik,La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,288,288,MOBILHOME 4 personnes - Classik 2 chambres,La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,438.57,307,MOBILHOME 6 personnes - Cottage Privilège 4 Pièces 6 personnes Climatisé + TV,La Clape Village,6 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,316,316,MOBILHOME 6 personnes - Classik 3 chambres,La Clape Village,6 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,360,360,MOBILHOME 4 personnes - Cottage Privilège avec bed extérieur - quartier familles uniquement - zone piétonnière,La Clape Village,4 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,397,397,MOBILHOME 6 personnes - Cottage Privilège avec bed extérieur - quartier familles uniquement - zone piétonnière,La Clape Village,6 Adultes, 34300 AGDE,,,40,la-clape-village-76694,
,27/03/2023,07/10/2023,14/10/2023,329,282,MOBILHOME 6 personnes - CONFORT+,Camping Domaine de Sainte Véziane,6 Adultes, 34550 BESSAN,,,40,camping-domaine-de-sainte-veziane-76891,
,27/03/2023,07/10/2023,14/10/2023,343,294,MOBILHOME 6 personnes - CONFORT,Camping Domaine de Sainte Véziane,6 Adultes, 34550 BESSAN,,,40,camping-domaine-de-sainte-veziane-76891,
,27/03/2023,07/10/2023,14/10/2023,385,330,MOBILHOME 6 personnes - CONFORT+ PREMIUM 31 m²,Camping Domaine de Sainte Véziane,6 Adultes, 34550 BESSAN,,,40,camping-domaine-de-sainte-veziane-76891,
,27/03/2023,07/10/2023,14/10/2023,462,396,MOBILHOME 6 personnes - CONFORT+ PREMIUM 3 +CLIM,Camping Domaine de Sainte Véziane,6 Adultes, 34550 BESSAN,,,40,camping-domaine-de-sainte-veziane-76891,
,27/03/2023,07/10/2023,14/10/2023,315,315,CHALET 4 personnes,Camping La Sousta,4 Adultes, 30210 REMOULINS,,,40,camping-la-sousta-76669,
,27/03/2023,07/10/2023,14/10/2023,340,340,MOBILHOME 4 personnes - Cottage Cosy,Camping La Sousta,4 Adultes, 30210 REMOULINS,,,40,camping-la-sousta-76669,
,27/03/2023,07/10/2023,14/10/2023,375,375,MOBILHOME 6 personnes - Cottage Family,Camping La Sousta,6 Adultes, 30210 REMOULINS,,,40,camping-la-sousta-76669,
,27/03/2023,07/10/2023,14/10/2023,440,440,MOBILHOME 5 personnes - Cottage premium +,Camping La Sousta,5 Adultes, 30210 REMOULINS,,,40,camping-la-sousta-76669,
,27/03/2023,07/10/2023,14/10/2023,420,315,MOBILHOME 4 personnes - FAMILY PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,441,330.75,MOBILHOME 4 personnes - LOGGIA PREMIUM,Camping Beau Rivage,4 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,455,341.25,MOBILHOME 6 personnes - ESPACE CLASSIC,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,469,351.75,MOBILHOME 6 personnes - ESPACE PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,490,367.50,MOBILHOME 6 personnes - ESPACE PREMIUM + clim TV,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,504,378,MOBILHOME 6 personnes - BAY PREMIUM,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,525,393.75,MOBILHOME 6 personnes - ESPACE PREMIUM- vue sur le Bassin de Thau,Camping Beau Rivage,6 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
,27/03/2023,07/10/2023,14/10/2023,840,630,MOBILHOME 4 personnes - FAMILY LUXE (draps inclus),Camping Beau Rivage,4 Adultes, 34140 MEZE,,,40,camping-beau-rivage-77811,
