web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,03/04/2023,08/04/2023,15/04/2023,149,149,MOBILHOME 5 personnes - 2 chambres 4/5 places,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,159,159,MOBILHOME 5 personnes - 2 Chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,169,169,MOBILHOME 7 personnes - 3 chambres,Village-club Les Sables d'Or,5 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"769,40","323,40",MOBILHOME 4 personnes - 4 pax standard 2 chambres,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 070,82","449,82",MOBILHOME 6 personnes - 6 personnes Standard 3 chambres,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 070,82","449,82",MOBILHOME 6 personnes - Premium 2 chambres 2sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 301,84","546,84",MOBILHOME 6 personnes - Premium 2 chambres 2 sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 532,86","643,86",MOBILHOME 6 personnes - 6 personnes Premium 3 chambres 2 sdb,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 763,88","740,88",MOBILHOME 6 personnes - Premium 3 Chbr / 2 Sdb GARDEN,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"1 672,26","1 037,26",MOBILHOME 4 personnes - Suite Moussaillons,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"2 008,58","1 245,58",MOBILHOME 4 personnes - Suite Pirate,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"2 848,38","1 766,38",CHAMBRE 6 personnes - SUITE FLIBUSTIER,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"4 108,58","2 547,58",CHAMBRE 6 personnes - SUITE PREMIUM BOUCANIER avec jacuzzi,Village-club Les Sables d'Or,4 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"5 536,94","3 432,94",MOBILHOME 6 personnes - Suite Barbe Noire,Village-club Les Sables d'Or,6 Adultes, 34300 LE CAP D'AGDE,,14,village-club-les-sables-dor-77569,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,375,189,MOBILHOME 6 personnes - 2 chambres,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,476,199,MOBILHOME 6 personnes - 3 chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,149,149,MOBILHOME 6 personnes - 3 Chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,149,149,MOBILHOME 6 personnes - 3 chambres,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,MOBILHOME 6 personnes,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,MOBILHOME 6 personnes - 2 chambres 4/6 places,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"395,81","245,40",MOBILHOME 6 personnes - Evasion 3 Pièces 4/6 Personnes + TV,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"415,16","257,40",MOBILHOME 6 personnes - Loisir 4 Pièces 6 Personnes + TV,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"323,20","259,20",MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"323,20","259,20",MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"323,20","259,20",MOBILHOME 4 personnes - Cocoon 4 personnes 2 chambres 23m²,Camping Le Clos Virgile,4 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,345,276,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Merc,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,345,276,MOBILHOME 6 personnes - Mh Evasion+ 6P 2CH 28m² Sam,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,345,276,MOBILHOME 6 personnes - Evasion 6 personnes 2 chambres 28m²,Camping Le Clos Virgile,6 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,450,360,MOBILHOME 5 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,5 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 34m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,450,360,MOBILHOME 8 personnes - Loisir+ 8 personnes 3 chambres 30m²,Camping Le Clos Virgile,8 Adultes, 34410 SERIGNAN,,14,camping-le-clos-virgile-78527,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,259,169,MOBILHOME 4 personnes - LOISIRS,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,319,189,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,CHALET 2 personnes,Camping des Albères,2 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,TENTE TOILE ET BOIS 5 personnes - NATURA,Camping des Albères,5 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,199,199,TENTE 4 personnes - Maori,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"338,57",237,MOBILHOME 4 personnes - Loisirs 3 Pièces 4 Personnes Climatisé + TV,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"347,89",247,MOBILHOME 6 personnes - Passion 3 Pièces 4/6 Personnes Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,249,249,CHALET 4 personnes,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"367,14",257,MOBILHOME 8 personnes - Féérique 4 Pièces 6/8 Personnes Climatisé + TV,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,279,279,MOBILHOME 6 personnes - PASSION,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,299,299,MOBILHOME 4 personnes - Gamme Loisirs,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"737,21",317,MOBILHOME 4 personnes - Duo Premium 3 Pièces 4 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,319,319,MOBILHOME 4 personnes - DUO,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,339,339,MOBILHOME 8 personnes - FEERIQUE,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,"882,22",397,MOBILHOME 6 personnes - Trio Premium 4 Pièces 6 Personnes Jacuzzi + Climatisé + TV,Camping des Albères,6 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,499,499,MOBILHOME 4 personnes - PREMIUM JACUZZI,Camping des Albères,4 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
,03/04/2023,08/04/2023,15/04/2023,509,509,MOBILHOME 8 personnes - QUATTRO,Camping des Albères,8 Adultes, 66740 LAROQUE DES ALBERES,,14,camping-des-alberes-77482,Languedoc-roussillon
