url,web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,nom,Nb Personnes,localite,n_offres,date_debut-jour,Nb semaines,cle_station,nom_station
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,259,259,MOBILHOME 6 personnes - Cottage 3 chambres Climatisé + TV + LV,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,334,234,MOBILHOME 6 personnes - Riviera STANDARD Climatisé 4/6 p,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,371,260,MOBILHOME 6 personnes - Marina STANDARD Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,380,266,MOBILHOME 6 personnes - Titania CLASSIC Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,357,268,MOBILHOME 4 personnes - Bergame CONFORT Climatisé,Camping Campéole La Côte des Roses,4 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,379,277,MOBILHOME 6 personnes - Cottage 4 Pièces 6 Personnes Climatisé + TV,Camping Campéole La Côte des Roses,4 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,418,314,MOBILHOME 6 personnes - Bahia CONFORT Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,426,320,MOBILHOME 6 personnes - Venezia CONFORT Climatisé Vue Plan deau,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-campeole-la-cote-des-roses-77876#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,472,354,MOBILHOME 6 personnes - Toscane CONFORT Climatisé,Camping Campéole La Côte des Roses,6 Adultes, 11100 NARBONNE PLAGE,,,22,camping-campeole-la-cote-des-roses-77876,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,343,248,MOBILHOME 5 personnes - Cosy 2 chambres (I5P2),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,22,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,357,255,MOBILHOME 6 personnes - Cosy 2 chambres (I6P2),Camping La Falaise,5 Adultes, 11100 NARBONNE PLAGE,,,22,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-la-falaise-77875#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,392,283,MOBILHOME 4 personnes - Cosy 2 chambres Climatisé  (I42C),Camping La Falaise,4 Adultes, 11100 NARBONNE PLAGE,,,22,camping-la-falaise-77875,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,480,480,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,22,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,480,480,MOBILHOME 4 personnes - IRIS - 1 chambre - Récent - 20m²,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,,22,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,550,550,MOBILHOME 5 personnes - LOUISIANE - 2 chambres - 22m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,22,camping-le-pinada-77247,
https://www.campings.com/fr/camping/camping-le-pinada-77247#?checkInDate=2023-06-03&night=7,,27/03/2023,03/06/2023,10/06/2023,580,580,MOBILHOME 5 personnes - TITANIA - 2 chambres - 24m²,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,,22,camping-le-pinada-77247,
