web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,stars,nom,localite,Nb personnes,date_debut-jour,Nb semaines
,13/03/2023,01/04/2023,08/04/2023,2191,2191,Mobilhome/Cottage,33892,0,Camping Les Tournels,St Tropez,Jusqu'à 8 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1589,1589,Mobilhome/Cottage,33889,0,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1757,1757,Mobilhome/Cottage,58813,0,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1512,1512,Mobilhome/Cottage,58813,0,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1337,1337,Mobilhome/Cottage,33882,0,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1001,1001,Mobilhome/Cottage,6958,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,765,765,Mobilhome/Cottage,6958,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,612,612,Mobilhome/Cottage,6958,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,612,612,Mobilhome/Cottage,6958,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,459,459,Mobilhome/Cottage,6958,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,1015,1015,Mobilhome/Cottage,4527,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,945,945,Mobilhome/Cottage,4527,4,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,700,700,Mobilhome/Cottage,16126,3,Camping Les Tournels,St Tropez,Jusqu'à 6 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,700,700,Mobilhome/Cottage,7586,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,270,270,Mobilhome/Cottage,7586,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,270,270,Mobilhome/Cottage,7586,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,630,630,Mobilhome/Cottage,7478,3,Camping Les Tournels,St Tropez,"32 m²* -
2 chambres",,13
,13/03/2023,01/04/2023,08/04/2023,630,630,Mobilhome/Cottage,1018,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,700,700,Mobilhome/Cottage,1018,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
,13/03/2023,01/04/2023,08/04/2023,595,595,Mobilhome/Cottage,16123,3,Camping Les Tournels,St Tropez,Jusqu'à 4 personnes,,13
